Timestamp,Frame#,InferenceTime(ms),Flood_Lat,Flood_Lon
2025-10-28 11:36:17,0,78.08,12.97232,77.59459
2025-10-28 11:36:17,1,18.15,12.97229,77.59459
2025-10-28 11:36:17,2,18.05,12.97232,77.59459
2025-10-28 11:36:17,3,22.65,12.97230,77.59459
2025-10-28 11:36:17,4,6.71,12.97233,77.59459
2025-10-28 11:36:17,5,6.78,12.97174,77.59459
2025-10-28 11:36:17,6,6.66,12.97176,77.59459
2025-10-28 11:36:17,7,10.89,12.97235,77.59459
2025-10-28 11:36:17,8,10.96,12.97235,77.59459
2025-10-28 11:36:17,9,11.14,12.97235,77.59459
2025-10-28 11:36:17,10,11.19,12.97235,77.59459
2025-10-28 11:36:17,11,11.22,12.97235,77.59459
2025-10-28 11:36:17,12,10.97,12.97238,77.59459
2025-10-28 11:36:17,13,10.98,12.97237,77.59459
2025-10-28 11:36:17,14,11.12,12.97237,77.59459
2025-10-28 11:36:17,15,11.16,12.97239,77.59459
2025-10-28 11:36:17,16,11.31,12.97241,77.59459
2025-10-28 11:36:17,17,11.22,12.97241,77.59459
2025-10-28 11:36:17,18,11.31,12.97237,77.59459
2025-10-28 11:36:17,19,11.03,12.97237,77.59459
2025-10-28 11:36:17,20,16.80,12.97237,77.59459
2025-10-28 11:36:17,21,11.20,12.97240,77.59459
2025-10-28 11:36:17,22,11.18,12.97240,77.59459
2025-10-28 11:36:17,23,11.50,12.97243,77.59459
2025-10-28 11:36:17,24,11.20,12.97244,77.59459
2025-10-28 11:36:17,25,11.21,12.97240,77.59459
2025-10-28 11:36:17,26,11.30,12.97240,77.59459
2025-10-28 11:36:17,27,11.30,12.97241,77.59459
2025-10-28 11:36:17,28,11.25,12.97244,77.59459
2025-10-28 11:36:18,29,11.19,12.97244,77.59459
2025-10-28 11:36:18,30,11.13,12.97243,77.59459
2025-10-28 11:36:18,31,11.16,12.97243,77.59459
2025-10-28 11:36:18,32,11.29,12.97241,77.59459
2025-10-28 11:36:18,33,11.28,12.97195,77.59459
2025-10-28 11:36:18,34,11.28,12.97195,77.59459
2025-10-28 11:36:18,35,11.22,12.97244,77.59459
2025-10-28 11:36:18,36,11.24,12.97244,77.59459
2025-10-28 11:36:18,37,11.10,12.97243,77.59459
2025-10-28 11:36:18,38,11.29,12.97243,77.59459
2025-10-28 11:36:18,39,11.04,12.97243,77.59459
2025-10-28 11:36:18,40,11.04,12.97244,77.59459
2025-10-28 11:36:18,41,11.02,12.97245,77.59459
2025-10-28 11:36:18,42,11.05,12.97244,77.59459
2025-10-28 11:36:18,43,11.24,12.97244,77.59459
2025-10-28 11:36:18,44,17.08,12.97240,77.59459
